Date,Price,Open,High,Low,IHSG_Vol
10/02/2021,6201.83,6198.03,6216.94,6168.01,12260000000
09/02/2021,6181.67,6232.1,6286.29,6157.13,17530000000
08/02/2021,6208.87,6193.55,6224.41,6180.73,16160000000
05/02/2021,6151.73,6136.39,6151.73,6090.98,13470000000
04/02/2021,6107.22,6111.76,6179.37,6069.55,14820000000
03/02/2021,6077.75,6096.58,6137.68,6047.41,15390000000
02/02/2021,6043.84,6119.01,6157.25,6018.09,22730000000
01/02/2021,6067.54,5856.78,6070.73,5735.47,20890000000
29/01/2021,5862.35,6010.34,6068.13,5825.29,14770000000
28/01/2021,5979.39,6065.79,6123.46,5957.55,15730000000
27/01/2021,6109.17,6153.08,6154.6,5998.9,18140000000
26/01/2021,6140.17,6252.71,6269.67,6123.01,17220000000
25/01/2021,6258.57,6322.52,6322.73,6148.31,15480000000
22/01/2021,6307.13,6419.57,6428.5,6283.31,15790000000
21/01/2021,6413.89,6476.09,6504.99,6399.67,17110000000
20/01/2021,6429.76,6334.51,6440.8,6299.39,19090000000
19/01/2021,6321.86,6421.86,6434.84,6288.98,22370000000
18/01/2021,6389.83,6365.03,6428.31,6316.88,33760000000
15/01/2021,6373.41,6447.98,6472.31,6341.25,26230000000
14/01/2021,6428.31,6445.9,6465.53,6407.57,34480000000
13/01/2021,6435.21,6439.93,6464.35,6393.9,34300000000
12/01/2021,6395.67,6393.9,6435.96,6353.31,27960000000
11/01/2021,6382.94,6278.41,6382.94,6278.37,29790000000
08/01/2021,6257.83,6190.95,6275.74,6190.1,22180000000
07/01/2021,6153.63,6091.72,6158.04,6090.36,22750000000
06/01/2021,6065.68,6139.14,6166.63,5987.79,19920000000
05/01/2021,6137.34,6105.79,6145.61,6073.42,17470000000
04/01/2021,6104.9,5997.83,6104.9,5929.05,18390000000
30/12/2020,5979.07,6052.12,6055.97,5962.01,17000000000
29/12/2020,6036.17,6112.72,6143.87,6026.71,17510000000
28/12/2020,6093.55,6067,6095.01,5979.9,18090000000
23/12/2020,6008.71,6061.85,6104.35,5853.26,20350000000
22/12/2020,6023.29,6146.65,6174.46,6010.21,25010000000
21/12/2020,6165.62,6131.62,6195.15,6119.92,23860000000
18/12/2020,6104.32,6106.25,6142.86,6091.4,25800000000
17/12/2020,6113.38,6133.1,6160.98,6075.83,32170000000
16/12/2020,6118.4,6046.87,6123.95,6046.87,29100000000
15/12/2020,6010.13,6013.51,6023.21,5965.81,19440000000
14/12/2020,6012.52,5959.27,6013.95,5959.27,22690000000
11/12/2020,5938.33,5946.36,5976.57,5924.37,21770000000
10/12/2020,5933.7,5977,6004.42,5911.91,26460000000
08/12/2020,5944.41,5944.86,5954.38,5929.9,29420000000
07/12/2020,5930.76,5854.3,5941.35,5854.3,22680000000
04/12/2020,5810.48,5820.82,5823.32,5775.57,17390000000
03/12/2020,5822.94,5833.32,5853.16,5797.01,23840000000
02/12/2020,5813.99,5755.18,5813.99,5734.26,21910000000
01/12/2020,5724.74,5637.89,5736.32,5594.28,20950000000
30/11/2020,5612.42,5779.67,5798.29,5563.86,31990000000
27/11/2020,5783.33,5773.56,5795.84,5745.88,25140000000
26/11/2020,5759.92,5669.66,5759.92,5669.66,24830000000
25/11/2020,5679.25,5735.14,5770.66,5666.76,32540000000
24/11/2020,5701.03,5677.3,5710.38,5667.37,24050000000
23/11/2020,5652.76,5583.33,5652.76,5583.33,18990000000
20/11/2020,5571.66,5602.78,5628.44,5563.65,21580000000
19/11/2020,5594.06,5541.42,5598.52,5541.31,16670000000
18/11/2020,5557.52,5530.88,5574.73,5530.88,14080000000
17/11/2020,5529.94,5516.58,5562.54,5515.52,14680000000
16/11/2020,5494.87,5500.03,5519.68,5462.46,11990000000
13/11/2020,5461.06,5449.1,5466.56,5427.63,11340000000
12/11/2020,5458.6,5494.48,5500.42,5449.8,11980000000
11/11/2020,5509.51,5475.56,5520.91,5471.59,16520000000
10/11/2020,5462.74,5424.73,5469.18,5412.59,14960000000
09/11/2020,5356,5371.97,5395.71,5319.42,12150000000
06/11/2020,5335.53,5276.16,5335.53,5246.7,10470000000
05/11/2020,5260.33,5161.39,5260.33,5161.39,10880000000
04/11/2020,5105.2,5170.82,5188.01,5105.2,10400000000
03/11/2020,5159.45,5133.98,5162.35,5131.95,10140000000
02/11/2020,5115.13,5108.03,5130.69,5073.5,9760000000
27/10/2020,5128.23,5133.54,5155.57,5110.62,10710000000
26/10/2020,5144.05,5113.15,5158.27,5113.02,10330000000
23/10/2020,5112.19,5112.79,5121.02,5095.51,9550000000
22/10/2020,5091.82,5084.79,5093.83,5063.7,12290000000
21/10/2020,5096.45,5116.79,5131.51,5083.66,10480000000
20/10/2020,5099.84,5120.91,5135.08,5080.96,8860000000
19/10/2020,5126.33,5116.76,5128.65,5090.78,11110000000
16/10/2020,5103.41,5111.43,5115.56,5067.59,9250000000
