Date,Price,Open,High,Low
25/01/2021,6258.57,6322.52,6322.73,6148.31
22/01/2021,6307.13,6419.57,6428.5,6283.31
21/01/2021,6413.89,6476.09,6504.99,6399.67
20/01/2021,6429.76,6334.51,6440.8,6299.39
19/01/2021,6321.86,6421.86,6434.84,6288.98
18/01/2021,6389.83,6365.03,6428.31,6316.88
15/01/2021,6373.41,6447.98,6472.31,6341.25
14/01/2021,6428.31,6445.9,6465.53,6407.57
13/01/2021,6435.21,6439.93,6464.35,6393.9
12/01/2021,6395.67,6393.9,6435.96,6353.31
11/01/2021,6382.94,6278.41,6382.94,6278.37
08/01/2021,6257.83,6190.95,6275.74,6190.1
07/01/2021,6153.63,6091.72,6158.04,6090.36
06/01/2021,6065.68,6139.14,6166.63,5987.79
05/01/2021,6137.34,6105.79,6145.61,6073.42
04/01/2021,6104.9,5997.83,6104.9,5929.05
30/12/2020,5979.07,6052.12,6055.97,5962.01
29/12/2020,6036.17,6112.72,6143.87,6026.71
28/12/2020,6093.55,6067,6095.01,5979.9
23/12/2020,6008.71,6061.85,6104.35,5853.26
22/12/2020,6023.29,6146.65,6174.46,6010.21
21/12/2020,6165.62,6131.62,6195.15,6119.92
18/12/2020,6104.32,6106.25,6142.86,6091.4
17/12/2020,6113.38,6133.1,6160.98,6075.83
16/12/2020,6118.4,6046.87,6123.95,6046.87
15/12/2020,6010.13,6013.51,6023.21,5965.81
14/12/2020,6012.52,5959.27,6013.95,5959.27
11/12/2020,5938.33,5946.36,5976.57,5924.37
10/12/2020,5933.7,5977,6004.42,5911.91
08/12/2020,5944.41,5944.86,5954.38,5929.9
07/12/2020,5930.76,5854.3,5941.35,5854.3
04/12/2020,5810.48,5820.82,5823.32,5775.57
03/12/2020,5822.94,5833.32,5853.16,5797.01
02/12/2020,5813.99,5755.18,5813.99,5734.26
01/12/2020,5724.74,5637.89,5736.32,5594.28
30/11/2020,5612.42,5779.67,5798.29,5563.86
27/11/2020,5783.33,5773.56,5795.84,5745.88
26/11/2020,5759.92,5669.66,5759.92,5669.66
25/11/2020,5679.25,5735.14,5770.66,5666.76
24/11/2020,5701.03,5677.3,5710.38,5667.37
23/11/2020,5652.76,5583.33,5652.76,5583.33
20/11/2020,5571.66,5602.78,5628.44,5563.65
19/11/2020,5594.06,5541.42,5598.52,5541.31
